exp_id,residuals,dir1,dir2,log(loss),accuracy
2,TRUE,-1,0.6666666667,0.7085408613,94.11%
2,TRUE,-1,0.7333333333,0.7483081726,94.11%
2,TRUE,-1,0.8,0.8079918897,94.11%
2,TRUE,-1,0.8666666667,0.9081565492,94.11%
2,TRUE,-1,0.9333333333,1.052185098,94.11%
2,TRUE,-1,1,1.213076308,94.11%
2,TRUE,-0.9333333333,-1,0.9934478217,94.11%
2,TRUE,-0.9333333333,-0.9333333333,0.7592451846,94.11%
2,TRUE,-0.9333333333,-0.8666666667,0.6344845421,94.11%
2,TRUE,-0.9333333333,-0.8,0.6646019624,94.11%
2,TRUE,-0.9333333333,-0.7333333333,0.7150175709,94.11%
2,TRUE,-0.9333333333,-0.6666666667,0.7566305321,94.11%
2,TRUE,-0.9333333333,-0.6,0.7846836798,94.11%
2,TRUE,-0.9333333333,-0.5333333333,0.793151792,94.11%
2,TRUE,-0.9333333333,-0.4666666667,0.7959499792,94.11%
2,TRUE,-0.9333333333,-0.4,0.8002102752,94.11%
2,TRUE,-0.9333333333,-0.3333333333,0.8017567254,94.11%
2,TRUE,-0.9333333333,-0.2666666667,0.7968262606,94.11%
2,TRUE,-0.9333333333,-0.2,0.7864678285,94.11%
2,TRUE,-0.9333333333,-0.1333333333,0.7728600043,94.11%
2,TRUE,-0.9333333333,-0.06666666667,0.7623173843,94.11%
2,TRUE,-0.9333333333,0,0.7589059408,94.11%
2,TRUE,-0.9333333333,0.06666666667,0.7631567021,94.11%
2,TRUE,-0.9333333333,0.1333333333,0.7683502944,94.11%
2,TRUE,-0.9333333333,0.2,0.7678960544,94.11%
2,TRUE,-0.9333333333,0.2666666667,0.7601401682,94.11%
2,TRUE,-0.9333333333,0.3333333333,0.7493477302,94.11%
2,TRUE,-0.9333333333,0.4,0.7374160587,94.11%
2,TRUE,-0.9333333333,0.4666666667,0.7195105226,94.11%
2,TRUE,-0.9333333333,0.5333333333,0.6987644905,94.11%
2,TRUE,-0.9333333333,0.6,0.6862148461,94.11%
2,TRUE,-0.9333333333,0.6666666667,0.6875368896,94.11%
